object_key,file_name,grade,subject,file_size,file_type
试卷\七年级\历史\历史人教版7上试卷\1、同步练习 （20份）\同步练习（2024）\第7课+百家争鸣（同步练习）\第7课 百家争鸣（解析版）.docx,第7课 百家争鸣（解析版）.docx,七年级,历史,946.18 KB,docx
试卷\七年级\历史\历史人教版7上试卷\1、同步练习 （20份）\同步练习（2024）\第8课+夏商周时期的科技与文化（同步练习）\第8课 夏商周时期的科技与文化（原卷版）.docx,第8课 夏商周时期的科技与文化（原卷版）.docx,七年级,历史,1427.21 KB,docx
试卷\七年级\历史\历史人教版7上试卷\1、同步练习 （20份）\同步练习（2024）\第8课+夏商周时期的科技与文化（同步练习）\第8课 夏商周时期的科技与文化（解析版）.docx,第8课 夏商周时期的科技与文化（解析版）.docx,七年级,历史,1519.96 KB,docx
试卷\七年级\历史\历史人教版7上试卷\1、同步练习 （20份）\同步练习（2024）\第9课+秦统一中国（同步练习）\第9课 秦统一中国（原卷版）.docx,第9课 秦统一中国（原卷版）.docx,七年级,历史,678.42 KB,docx
试卷\七年级\历史\历史人教版7上试卷\1、同步练习 （20份）\同步练习（2024）\第9课+秦统一中国（同步练习）\第9课 秦统一中国（解析版）.docx,第9课 秦统一中国（解析版）.docx,七年级,历史,687.57 KB,docx
试卷\七年级\历史\历史人教版7上试卷\2、单元测试 （25份）\01 单元测试（2024）\部编版2024-2025学年七年级上册历史第一单元 史前时期：原始社会与中华文明的起源  单元学情评估卷（含答案）.doc,部编版2024-2025学年七年级上册历史第一单元 史前时期：原始社会与中华文明的起源  单元学情评估卷（含答案）.doc,七年级,历史,448.00 KB,doc
试卷\七年级\历史\历史人教版7上试卷\2、单元测试 （25份）\01 单元测试（2024）\部编版2024-2025学年七年级上册历史第三单元 秦汉时期：统一多民族封建国家的建立和巩固  单元学情评估（含答案）.doc,部编版2024-2025学年七年级上册历史第三单元 秦汉时期：统一多民族封建国家的建立和巩固  单元学情评估（含答案）.doc,七年级,历史,266.50 KB,doc
试卷\七年级\历史\历史人教版7上试卷\2、单元测试 （25份）\01 单元测试（2024）\部编版2024-2025学年七年级上册历史第二单元 夏商周时期：奴隶制王朝的更替和向封建社会的过渡  单元学情评估（含答案）.doc,部编版2024-2025学年七年级上册历史第二单元 夏商周时期：奴隶制王朝的更替和向封建社会的过渡  单元学情评估（含答案）.doc,七年级,历史,299.00 KB,doc
试卷\七年级\历史\历史人教版7上试卷\2、单元测试 （25份）\01 单元测试（2024）\部编版2024-2025学年七年级上册历史第四单元 三国两晋南北朝时期：孕育统一和民族交融  单元学情评估卷（含答案）.doc,部编版2024-2025学年七年级上册历史第四单元 三国两晋南北朝时期：孕育统一和民族交融  单元学情评估卷（含答案）.doc,七年级,历史,280.00 KB,doc
试卷\七年级\历史\历史人教版7上试卷\2、单元测试 （25份）\02 单元测试（2024）\第一单元 史前时期：中国境内早期人类与文明的起源  单元自我评价试题（含答案）.docx,第一单元 史前时期：中国境内早期人类与文明的起源  单元自我评价试题（含答案）.docx,七年级,历史,140.55 KB,docx
